"x","yhat"
30.2,-0.104139667662916
30.865,-0.108130795668675
31.53,-0.112997221202728
32.195,-0.1187333718361
32.86,-0.125333675139819
33.525,-0.132792558684914
34.19,-0.14110445004241
34.855,-0.150263776783336
35.52,-0.160264966478719
36.185,-0.171102446699587
36.85,-0.182770645016967
37.515,-0.195263989001886
38.18,-0.208576906225372
38.845,-0.222703824258452
39.51,-0.237639170672153
40.175,-0.253377373037504
40.84,-0.269912858925532
41.505,-0.287240055907263
42.17,-0.305353391553726
42.835,-0.324247293435948
43.5,-0.343916189124956
44.165,-0.364354506191778
44.83,-0.385556672207441
45.495,-0.407517114742974
46.16,-0.430230261369401
46.825,-0.453690539657753
47.49,-0.477892377179055
48.155,-0.502830201504336
48.82,-0.528498440204622
49.485,-0.554891520850942
50.15,-0.582003871014323
50.815,-0.609829918265792
51.48,-0.638364090176376
52.145,-0.667600814317103
52.81,-0.697534518259001
53.475,-0.728159629573097
54.14,-0.759339886462627
54.805,-0.79040375124278
55.47,-0.821045172461893
56.135,-0.851016169120427
56.8,-0.880068760218845
57.465,-0.909424633544875
58.13,-0.940478114431906
58.795,-0.971430532143969
59.46,-1.00043113674715
60.125,-1.02677576017501
60.79,-1.05544652943205
61.455,-1.0848984017568
62.12,-1.1122882356883
62.785,-1.13477288976555
63.45,-1.14976067035421
64.115,-1.15784751858285
64.78,-1.16087006458104
65.445,-1.16052044254593
66.11,-1.15849078667465
66.775,-1.15647323116435
67.44,-1.15615991021216
68.105,-1.15843004722678
68.77,-1.15899076621757
69.435,-1.15786101426734
70.1,-1.1561645004253
70.765,-1.15502493374066
71.43,-1.15556602326264
72.095,-1.15880868470307
72.76,-1.16383612067304
73.425,-1.17002535624478
74.09,-1.17724618498829
74.755,-1.1853684004736
75.42,-1.19426179627071
76.085,-1.20379616594966
76.75,-1.21384130308044
77.415,-1.22426700123309
78.08,-1.23494305397762
78.745,-1.24573925488404
79.41,-1.25652539752237
80.075,-1.26717127546263
80.74,-1.27754729215735
81.405,-1.28773562287171
82.07,-1.29786766570365
82.735,-1.30794537887253
83.4,-1.31797072059767
84.065,-1.32794564909842
84.73,-1.33787212259412
85.395,-1.34775209930412
86.06,-1.35758753744776
86.725,-1.36738039524437
87.39,-1.3771326309133
88.055,-1.38684620267389
88.72,-1.39652306874548
89.385,-1.40616518734742
90.05,-1.41577451669904
90.715,-1.42535301501969
91.38,-1.43490264052872
92.045,-1.44442535144545
92.71,-1.45392310598924
93.375,-1.46339786237942
94.04,-1.47285157883533
94.705,-1.48228621357633
95.37,-1.49170372482175
96.035,-1.50110607079093
96.7,-1.51049520970321
