"state","district","party","gender","nameid","icpsr.id","missingVotes","idealPoint","lo","up","label","indx","firstnm","lastnm"
"IL","9","D","F","S001145","29911",24,-2.34804889930455,-2.76863450339739,-1.97129067458793,"Schakowsky (D IL-9)",1,"Jan","Schakowsky"
"WI","2","D","M","P000607", ,9,-2.25814076521528,-2.63700527269959,-1.8904431338691,"Pocan (D WI-2)",2,"Mark","Pocan"
"MA","2","D","M","M000312","29729",23,-2.01250241188698,-2.33894650222659,-1.71975803625727,"McGovern (D MA-2)",3,"Jim","McGovern"
"NY","10","D","M","N000002","29377",33,-2.00454670903201,-2.2955283612951,-1.70170733992051,"Nadler (D NY-10)",4,"Jerrold","Nadler"
"MD","4","D","F","E000290", ,42,-1.83370800668704,-2.10200152531116,-1.5784508578892,"Edwards (D MD-4)",5,"Donna","Edwards"
"CA","13","D","F","L000551","29778",42,-1.75634443247434,-2.01829042321367,-1.499356791382,"Lee (D CA-13)",6,"Barbara","Lee"
"CA","34","D","M","B000287","29316",44,-1.75595420509478,-2.02438625053722,-1.47511703013078,"Becerra (D CA-34)",7,"Xavier","Becerra"
"CA","27","D","F","C001080", ,51,-1.71781328924794,-2.00867982676501,-1.43187502704614,"Chu (D CA-27)",8,"Judy","Chu"
"NJ","12","D","M","H001032","29923",148,-1.69346263812916,-1.96039392631268,-1.41561883550239,"Holt (D NJ-12)",9,"Rush","Holt"
"WA","7","D","M","M000404","15613",33,-1.68201855483583,-1.93521460069712,-1.44261497572883,"McDermott (D WA-7)",10,"Jim","McDermott"
"NY","15","D","M","S000248","29134",25,-1.67768466076381,-1.92759624792874,-1.44242472090272,"Serrano (D NY-15)",11,"José","Serrano"
"CA","37","D","F","B001270", ,136,-1.65036210844498,-1.93923680668457,-1.40671595860049,"Bass (D CA-37)",12,"Karen","Bass"
"NJ","6","D","M","P000034","15454",87,-1.62552732735177,-1.89013215419164,-1.39078606800239,"Pallone (D NJ-6)",13,"Frank","Pallone"
"MA","5","D","F","C001101","",656,-1.60718091630537,-1.94760103659048,-1.24831042453256,"Clark (D MA-5)",14,"Katherine","Clark"
"NY","9","D","F","C001067","20733",57,-1.60366258735877,-1.82693203569464,-1.35873804473451,"Clarke (D NY-9)",15,"Yvette","Clarke"
"CA","47","D","M","L000579", ,14,-1.57305721068684,-1.80253401614737,-1.35192893847166,"Lowenthal (D CA-47)",16,"Alan","Lowenthal"
"CA","17","D","M","H001034","20103",93,-1.55571129885435,-1.77911734303868,-1.33630973278124,"Honda (D CA-17)",17,"Michael","Honda"
"NY","7","D","F","V000081","29378",58,-1.54288473181339,-1.76717385745643,-1.32516569325163,"Velázquez (D NY-7)",18,"Nydia","Velázquez"
"MI","13","D","M","C000714","10713",52,-1.53137259803303,-1.74749037592928,-1.30491213435362,"Conyers Jr. (D MI-13)",19,"John","Conyers Jr."
"GA","5","D","M","L000287","15431",153,-1.5221862356143,-1.74749824081701,-1.29761567412825,"Lewis (D GA-5)",20,"John","Lewis"
"MA","","D","M","M000133","14435",950,-1.50421570209986,-1.88983212158578,-1.13372307277486,"Markey (D MA-)",21,"Edward","Markey"
"CA","40","D","F","R000486","29317",33,-1.501132512246,-1.7442591646663,-1.31011537115542,"Roybal-Allard (D CA-40)",22,"Lucille","Roybal-Allard"
"MN","5","D","M","E000288","20727",51,-1.49090767383772,-1.71744487114497,-1.29208931685709,"Ellison (D MN-5)",23,"Keith","Ellison"
"MD","3","D","M","S001168","20724",34,-1.46034330796178,-1.67592026027479,-1.24652632025496,"Sarbanes (D MD-3)",24,"John","Sarbanes"
"NJ","10","D","M","P000604", ,43,-1.40735924047614,-1.61160591918123,-1.20525921496716,"Payne Jr. (D NJ-10)",25,"Donald","Payne Jr."
"CA","12","D","F","P000197","15448",111,-1.40034743572913,-1.6161678549967,-1.20905440266607,"Pelosi (D CA-12)",26,"Nancy","Pelosi"
"WI","4","D","F","M001160","20537",44,-1.40030615558735,-1.60652485760734,-1.20203643983775,"Moore (D WI-4)",27,"Gwen","Moore"
"MD","7","D","M","C000984","29587",32,-1.39536233045931,-1.61866022118171,-1.20188230046404,"Cummings (D MD-7)",28,"Elijah","Cummings"
"FL","24","D","F","W000808", ,30,-1.39352984203102,-1.5853785723736,-1.19087042474914,"Wilson (D FL-24)",29,"Frederica","Wilson"
"CA","20","D","M","F000030","29313",46,-1.39271390736504,-1.58630480034173,-1.19248172859872,"Farr (D CA-20)",30,"Sam","Farr"
"NY","8","D","M","J000294", ,32,-1.38078690222091,-1.59106490572808,-1.20684716335731,"Jeffries (D NY-8)",31,"Hakeem","Jeffries"
"FL","20","D","M","H000324","29337",109,-1.37865421007879,-1.57673687064809,-1.19108535681751,"Hastings (D FL-20)",32,"Alcee","Hastings"
"CA","33","D","M","W000215","14280",77,-1.37171923105699,-1.57494299028625,-1.18273565254929,"Waxman (D CA-33)",33,"Henry","Waxman"
"ME","1","D","F","P000597", ,39,-1.36759604246097,-1.55222308169936,-1.1794923049477,"Pingree (D ME-1)",34,"Chellie","Pingree"
"CA","32","D","F","N000179","29903",46,-1.35708816711696,-1.54008881192688,-1.14994075812763,"Napolitano (D CA-32)",35,"Grace","Napolitano"
"CA","38","D","F","S001156","20310",29,-1.34741868284762,-1.54017410149581,-1.17609698956871,"Sanchez (D CA-38)",36,"Linda","Sanchez"
"MA","1","D","M","N000015","15616",73,-1.33451900054305,-1.53097475529731,-1.13907679658365,"Neal (D MA-1)",37,"Richard","Neal"
"NY","14","D","M","C001038","29925",31,-1.32045564773054,-1.52224212422276,-1.14096411022437,"Crowley (D NY-14)",38,"Joseph","Crowley"
"CA","6","D","F","M001163","20538",28,-1.31836332105058,-1.50153113105625,-1.14301623940251,"Matsui (D CA-6)",39,"Doris","Matsui"
"CA","43","D","F","W000187","29106",86,-1.31475993160937,-1.50223883208264,-1.13641340803168,"Waters (D CA-43)",40,"Maxine","Waters"
"MA","4","D","M","K000379", ,19,-1.310601222269,-1.48808765789153,-1.13387678783294,"Kennedy III (D MA-4)",41,"Joseph","Kennedy III"
"RI","1","D","M","C001084", ,31,-1.29975401296796,-1.47759877474725,-1.12499643215632,"Cicilline (D RI-1)",42,"David","Cicilline"
"AZ","3","D","M","G000551","20305",115,-1.29896922991076,-1.48129137591845,-1.11614048177483,"Grijalva (D AZ-3)",43,"Raúl","Grijalva"
"CA","41","D","M","T000472", ,6,-1.29338903106794,-1.47749346775633,-1.11298967763238,"Takano (D CA-41)",44,"Mark","Takano"
"CO","1","D","F","D000197","29710",69,-1.29013311951084,-1.47480522837764,-1.10522548191658,"DeGette (D CO-1)",45,"Diana","DeGette"
"CA","11","D","M","M000725","14256",105,-1.2858337218838,-1.46401781724363,-1.09786513450333,"Miller (D CA-11)",46,"George","Miller"
"CA","14","D","F","S001175", ,82,-1.27606378409376,-1.45485627766581,-1.09173674062521,"Speier (D CA-14)",47,"Jackie","Speier"
"PA","2","D","M","F000043","29559",43,-1.27500513220032,-1.44566424624828,-1.09578921991723,"Fattah (D PA-2)",48,"Chaka","Fattah"
"CA","44","D","F","H001063", ,8,-1.26402296858649,-1.43210911580683,-1.09283431292072,"Hahn (D CA-44)",49,"Janice","Hahn"
"NY","20","D","M","T000469", ,7,-1.26054159818964,-1.43705856786786,-1.09042170940622,"Tonko (D NY-20)",50,"Paul","Tonko"
"IL","4","D","M","G000535","29348",204,-1.25837046677688,-1.43623184440138,-1.07806463242027,"Gutierrez (D IL-4)",51,"Luis","Gutierrez"
"IL","7","D","M","D000096","29717",77,-1.25637300518885,-1.43787868692315,-1.07629790583463,"Davis (D IL-7)",52,"Danny","Davis"
"MD","8","D","M","V000128","20330",18,-1.24772941837149,-1.42997521956168,-1.08019162316094,"Van Hollen (D MD-8)",53,"Chris","Van Hollen"
"OR","1","D","F","B001278", ,5,-1.24621436343889,-1.42112409332042,-1.08636727026714,"Bonamici (D OR-1)",54,"Suzanne","Bonamici"
"IL","2","D","F","K000385","21371",110,-1.24547500244916,-1.41930964276087,-1.07122372668603,"Kelly (D IL-2)",55,"Robin","Kelly"
"CA","2","D","M","H001068", ,36,-1.24533662640122,-1.4214555211161,-1.07735359015164,"Huffman (D CA-2)",56,"Jared","Huffman"
"OH","3","D","F","B001281", ,26,-1.2420679171404,-1.42801265908983,-1.08184877257055,"Beatty (D OH-3)",57,"Joyce","Beatty"
"FL","14","D","F","C001066","20708",54,-1.23972640178541,-1.40547602621204,-1.05513691181896,"Castor (D FL-14)",58,"Kathy","Castor"
"OR","3","D","M","B000574","29588",58,-1.23824915816856,-1.40166668177611,-1.06082927550904,"Blumenauer (D OR-3)",59,"Earl","Blumenauer"
"NC","12","D","M","W000207","29383",488,-1.23668542517395,-1.44498819829429,-1.03267106510832,"Watt (D NC-12)",60,"Melvin","Watt"
"MA","7","D","M","C001037","29919",46,-1.23659649016314,-1.39994563779579,-1.07949166062734,"Capuano (D MA-7)",61,"Michael","Capuano"
"OH","11","D","F","F000455", ,64,-1.22254445605642,-1.38648574532033,-1.05533566928192,"Fudge (D OH-11)",62,"Marcia","Fudge"
"TN","9","D","M","C001068","20748",28,-1.21316442462062,-1.36293358455244,-1.04935957272362,"Cohen (D TN-9)",63,"Steve","Cohen"
"CT","3","D","F","D000216","29109",44,-1.20335329840284,-1.38368686334213,-1.04181892317855,"DeLauro (D CT-3)",64,"Rosa","DeLauro"
"NY","5","D","M","M001137","29776",83,-1.18536028761059,-1.35039918166313,-1.02633143653774,"Meeks (D NY-5)",65,"Gregory","Meeks"
"PA","17","D","M","C001090", ,9,-1.17786464286286,-1.33891752567751,-1.01772656686828,"Cartwright (D PA-17)",66,"Matt","Cartwright"
"VT","1","D","M","W000800","20750",19,-1.17762532515829,-1.34281720422555,-1.02703613806672,"Welch (D VT-1)",67,"Peter","Welch"
"NY","26","D","M","H001038","20519",69,-1.17741027647655,-1.33644141140638,-1.0159950444744,"Higgins (D NY-26)",68,"Brian","Higgins"
"GA","4","D","M","J000288","20712",66,-1.1764368611019,-1.33276221237011,-1.01539134070803,"Johnson (D GA-4)",69,"Hank","Johnson"
"CA","18","D","F","E000215","29312",33,-1.17382759551696,-1.33720339754794,-1.0131159993964,"Eshoo (D CA-18)",70,"Anna","Eshoo"
"PA","1","D","M","B001227","29777",23,-1.1721751450102,-1.32673272976727,-1.00159219874271,"Brady (D PA-1)",71,"Robert","Brady"
"MA","3","D","F","T000465","20754",55,-1.17083235630198,-1.33335660876006,-1.02435722315344,"Tsongas (D MA-3)",72,"Niki","Tsongas"
"NJ","8","D","M","S001165","20542",90,-1.16561231971823,-1.33191315091814,-1.01070713438501,"Sires (D NJ-8)",73,"Albio","Sires"
"MI","5","D","M","K000380", ,7,-1.16471871234869,-1.32340772038826,-1.011478901653,"Kildee (D MI-5)",74,"Dan","Kildee"
"MI","9","D","M","L000263","15033",6,-1.15633596526705,-1.30364186982639,-0.99394231784265,"Levin (D MI-9)",75,"Sander","Levin"
"NJ","9","D","M","P000096","29741",36,-1.15492107560743,-1.31309643798812,-0.993854678297528,"Pascrell Jr. (D NJ-9)",76,"Bill","Pascrell Jr."
