"id","legisNames","party","state","cd","y","x"
"AK-1","Young (R AK-1)","R","AK","1",0.493210022847125,41.2
"AL-1","Bonner (R AL-1)","R","AL","1",0.729107902647496,37.4
"AL-1","Byrne (R AL-1)","R","AL","1",1.16298990803106,37.4
"AL-2","Roby (R AL-2)","R","AL","2",0.696521829886592,35.15
"AL-3","Rogers (R AL-3)","R","AL","3",0.863993275294746,36.3
"AL-4","Aderholt (R AL-4)","R","AL","4",0.76450976715632,24
"AL-5","Brooks (R AL-5)","R","AL","5",0.924138831701507,34.9
"AL-6","Bachus (R AL-6)","R","AL","6",0.68420742908747,24.7
"AL-7","Sewell (D AL-7)","D","AL","7",-0.762468973086262,71.7
"AR-1","Crawford (R AR-1)","R","AR","1",0.710320459860359,36.3
"AR-2","Griffin (R AR-2)","R","AR","2",0.760076962776086,42.9
"AR-3","Womack (R AR-3)","R","AR","3",0.726532235444793,31.6
"AR-4","Cotton (R AR-4)","R","AR","4",1.1368577260967,35.9
"AZ-1","Kirkpatrick (D AZ-1)","D","AZ","1",-0.538058454617024,47.9
"AZ-2","Barber (D AZ-2)","D","AZ","2",-0.25551796089396,48.4
"AZ-3","Grijalva (D AZ-3)","D","AZ","3",-1.29896922991076,61.4
"AZ-4","Gosar (R AZ-4)","R","AZ","4",1.01051488173438,31
"AZ-5","Salmon (R AZ-5)","R","AZ","5",1.06189364817713,34.6
"AZ-6","Schweikert (R AZ-6)","R","AZ","6",1.10636152360235,38.8
"AZ-7","Pastor (D AZ-7)","D","AZ","7",-0.975299931492339,71.7
"AZ-8","Franks (R AZ-8)","R","AZ","8",1.37448162493125,36.9
"AZ-9","Sinema (D AZ-9)","D","AZ","9",-0.340658709644793,51.1
"CA-1","LaMalfa (R CA-1)","R","CA","1",1.14683952902097,40.3
"CA-10","Denham (R CA-10)","R","CA","10",0.586491635359288,50.6
"CA-11","Miller (D CA-11)","D","CA","11",-1.2858337218838,67.6
"CA-12","Pelosi (D CA-12)","D","CA","12",-1.40034743572913,84.1
"CA-13","Lee (D CA-13)","D","CA","13",-1.75634443247434,87.5
"CA-14","Speier (D CA-14)","D","CA","14",-1.27606378409376,74.2
"CA-15","Swalwell (D CA-15)","D","CA","15",-0.947319116000757,68
"CA-16","Costa (D CA-16)","D","CA","16",-0.267014959269976,58.6
"CA-17","Honda (D CA-17)","D","CA","17",-1.55571129885435,71.9
"CA-18","Eshoo (D CA-18)","D","CA","18",-1.17382759551696,68.2
"CA-19","Lofgren (D CA-19)","D","CA","19",-0.99141793917109,71.2
"CA-2","Huffman (D CA-2)","D","CA","2",-1.24533662640122,69
"CA-20","Farr (D CA-20)","D","CA","20",-1.39271390736504,70.9
"CA-21","Valadao (R CA-21)","R","CA","21",0.538073865747684,54.6
"CA-22","Nunes (R CA-22)","R","CA","22",0.737342536399491,41.6
"CA-23","McCarthy (R CA-23)","R","CA","23",0.794611039469371,36.1
"CA-24","Capps (D CA-24)","D","CA","24",-1.04344154558487,54.1
"CA-25","McKeon (R CA-25)","R","CA","25",0.644403442649556,47.8
"CA-26","Brownley (D CA-26)","D","CA","26",-0.715135635060201,54
"CA-27","Chu (D CA-27)","D","CA","27",-1.71781328924794,62.6
"CA-28","Schiff (D CA-28)","D","CA","28",-1.1524678081681,70.3
"CA-29","Cardenas (D CA-29)","D","CA","29",-0.870014190739166,77
"CA-3","Garamendi (D CA-3)","D","CA","3",-0.723186614093344,54.3
"CA-30","Sherman (D CA-30)","D","CA","30",-0.889169167584462,65.3
"CA-31","Miller (R CA-31)","R","CA","31",0.6586201714935,57.2
"CA-32","Napolitano (D CA-32)","D","CA","32",-1.35708816711696,65.2
"CA-33","Waxman (D CA-33)","D","CA","33",-1.37171923105699,60.6
"CA-34","Becerra (D CA-34)","D","CA","34",-1.75595420509478,83
"CA-35","Negrete McLeod (D CA-35)","D","CA","35",-1.04548721295126,67.4
"CA-36","Ruiz (D CA-36)","D","CA","36",-0.493105711333613,50.7
"CA-37","Bass (D CA-37)","D","CA","37",-1.65036210844498,84.9
"CA-38","Sanchez (D CA-38)","D","CA","38",-1.34741868284762,64.9
"CA-39","Royce (R CA-39)","R","CA","39",0.995746318739015,47.1
"CA-4","McClintock (R CA-4)","R","CA","4",1.01473300080893,39.5
"CA-40","Roybal-Allard (D CA-40)","D","CA","40",-1.501132512246,81.5
"CA-41","Takano (D CA-41)","D","CA","41",-1.29338903106794,61.5
"CA-42","Calvert (R CA-42)","R","CA","42",0.656288091246279,41.4
"CA-43","Waters (D CA-43)","D","CA","43",-1.31475993160937,78
"CA-44","Hahn (D CA-44)","D","CA","44",-1.26402296858649,84.7
"CA-45","Campbell (R CA-45)","R","CA","45",0.942384666857529,43
"CA-46","Sanchez (D CA-46)","D","CA","46",-0.823035656144412,61.4
"CA-47","Lowenthal (D CA-47)","D","CA","47",-1.57305721068684,60
"CA-48","Rohrabacher (R CA-48)","R","CA","48",0.750429958630515,43
"CA-49","Issa (R CA-49)","R","CA","49",0.851912845264779,45.7
"CA-5","Thompson (D CA-5)","D","CA","5",-1.12672639924374,69.7
"CA-50","Hunter (R CA-50)","R","CA","50",0.938896006897644,37.6
"CA-51","Vargas (D CA-51)","D","CA","51",-0.914483717180983,69.4
"CA-52","Peters (D CA-52)","D","CA","52",-0.442114535672852,52.1
"CA-53","Davis (D CA-53)","D","CA","53",-1.13283693658835,61.4
"CA-6","Matsui (D CA-6)","D","CA","6",-1.31836332105058,69.1
"CA-7","Bera (D CA-7)","D","CA","7",-0.556249075208918,50.8
"CA-8","Cook (R CA-8)","R","CA","8",0.813219359715367,41.7
